Task name,Duration in hours,Duration in percentage
Studying,156.90886917,35.23%
Film work,102.61472472,23.04%
RubyProject ,49.17239806,11.04%
Website ,45.08482000,10.12%
Writing,35.93670444,8.07%
Comic work,29.28307861,6.57%
Blender ,20.61982528,4.63%
Python ,5.76958722,1.30%
